
2022-05-27 at 20:11:08 | INFO | API cache does not exists ....
2022-05-27 at 20:11:09 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 20:11:09 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 20:11:09 | INFO | Capricornus Start Up ....
2022-05-27 at 20:11:09 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 20:11:09 | INFO | Init datastore ....
2022-05-27 at 20:11:10 | INFO | Capricornus Starting ....
2022-05-27 at 20:11:10 | INFO | API cache cleared ....
2022-05-27 at 20:11:10 | INFO | Capricornus Started
2022-05-27 at 20:14:11 | INFO | Capricornus Shutting Down ....
2022-05-27 at 20:14:11 | INFO | API cache does not exists ....
2022-05-27 at 20:14:13 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 20:14:13 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 20:14:13 | INFO | Capricornus Start Up ....
2022-05-27 at 20:14:13 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 20:14:13 | INFO | Init datastore ....
2022-05-27 at 20:14:14 | INFO | Capricornus Starting ....
2022-05-27 at 20:14:14 | INFO | API cache cleared ....
2022-05-27 at 20:14:14 | INFO | Capricornus Started
2022-05-27 at 20:14:29 | INFO | Capricornus Shutting Down ....
2022-05-27 at 20:14:29 | INFO | API cache does not exists ....
2022-05-27 at 20:14:31 | INFO | Arangobase Connect to: http://127.0.0.1:8529
2022-05-27 at 20:14:31 | INFO | Capricornusbase Connect to: http://127.0.0.1:8529
2022-05-27 at 20:14:31 | INFO | Capricornus Start Up ....
2022-05-27 at 20:14:31 | INFO | API prefix is: [ /api/v2 ]
2022-05-27 at 20:14:31 | INFO | Init datastore ....
